program_name,url,overview,tuition,duration,location,deadline,admission_requirements,apply,curriculum,careers,contact,Col13,Col14
Accountancy Phd,https://graduate.gsu.edu/program/accountancy-phd,Robinson’s Ph.D. program in accountancy aims to graduate individuals who are highly qualified and sought after for faculty positions in research-oriented universities.~,"Students typically offset the cost of the program through an assistantship that includes full tuition waivers. Contact us for information on tuition and funding your doctoral studies.
<br/><br/>
Adenike Brewington, abrewington1@gsu.edu",The Accountancy Ph.D. program typically takes 5 years.,Buckhead Center (200 Tower Place),"The Ph.D. program admits students once a year for the fall semester. We will begin accepting applications for fall 2022 on September 15, 2021. For fullest consideration, the application and all required materials should be submitted by January 10, 2022.~",https://graduate.gsu.edu/program/accountancy-phd,https://graduate.gsu.edu/program/accountancy-phd,https://graduate.gsu.edu/program/accountancy-phd,,"Matthew DeAngelis, assistant professor<br/>
mdeangelis@gsu.edu <br/>
404-413-7214<br/><br/>
Adenike Brewington, associate director<br/>
abrewington1@gsu.edu <br/>
404-413-7070 ~",,Accountancy Phd
Actuarial Science Graduate Certificate,https://graduate.gsu.edu/program/actuarial-science-graduate-certificate,"The Graduate Certificate in Actuarial Science will prepare you to transition into the actuarial science field. Talent in this arena is in extremely high demand. By taking just four courses, you will get ready for the P (Probability) and FM (Financial Mathematics) exams needed to become a credentialed actuary while building relevant insurance, statistics, and coding knowledge.~","Tuition per credit hour:<br/><br/>
Georgia residents: $499 <br/>
Non-Georgia residents: $1,308<br/><br/>
Tuition is subject to change. Refer to the [Tuition tab on the Program Page](https://robinson.gsu.edu/program/actuarial-science-graduate-certificate/) for additional details.~","Students can complete the certificate at their own pace, but we suggest completing the program in two semesters by taking two courses each semester.
<br/><br/>
Online classes are offered in both synchronous and asynchronous formats. Synchronous courses are typically held in the evenings from 7:15-9:45 p.m. EST, accommodating professionals who can attend class after work from any continental U.S. timezone.~","Atlanta Campus, Online
<br/><br/>
This program can be completed either online or as a mix of online and in-person.~","Fall
- Early Priority Scholarship Deadline: October 1
- Priority Scholarship Deadline II: December 1
- Priority Scholarship Deadline III: February 1
- International Student Deadline: April 1
- Final Deadline: August 1<br/><br/>
Spring:
- Early Priority Scholarship Deadline: September 1
- Priority Scholarship Deadline II: October 1
- International Student Deadline: November 1
- Final Deadline: December 1<br/><br/>
Summer:
- Early Priority Scholarship Deadline: February 1
- International Student Deadline: February 1
- Final Deadline: April 1~",https://graduate.gsu.edu/program/actuarial-science-graduate-certificate/#admissions-requirements,https://robinson.gsu.edu/masters-programs/actuarial-science-grad-cert-application-process/,https://graduate.gsu.edu/program/actuarial-science-graduate-certificate/,,"Your recruiter is here to answer your questions and help you prepare a strong application.
[Set up an appointment with your recruiter.](https://go.oncehub.com/LindsayFortnerConsultation)
<br/><br/>
Lindsay Fortner, program recruiter<br/>
lfortner@gsu.edu<br/>
404-413-7148<br/><br/>

Steve Lo, program director<br/>
clo5@gsu.edu<br/>
404-413-7484 ~",,Actuarial Science Graduate Certificate
Actuarial Science Masters,https://graduate.gsu.edu/program/actuarial-science-masters,"Our STEM-designated curriculum covers advanced topics including InsurTech, actuarial analytics, and machine learning. Students complete real-world, hands-on “sprint” projects, and emerge prepared to take the actuarial exams administered by the Society of Actuaries. The program covers coding and statistical methods as well as key actuarial topics. Students can complete the degree in person (in Atlanta) or fully online, and can study full-time or part-time after work. The program is geared toward students with quantitative backgrounds, both with and without prior actuarial training.~","Tuition per credit hour:<br/><br/> Georgia residents: $499 <br/> Non-Georgia residents: $1,308<br/><br/> Tuition is subject to change.","Full-time format: 3 semesters (16 months) <br/><br/>
Part-time format: 5-6 semesters (21-24 months)<br/><br/>

A dual degree in Quantitative Risk Analysis & Management or Analytics requires just one additional semester. [Learn about our dual degree options](https://robinson.gsu.edu/student-experience/dual-degree-programs/).~","Atlanta Campus, Buckhead Center (200 Tower Place), Online
<br/><br/>
The program can be completed in-person as well as online. Use the [Comparison Chart](https://robinson.gsu.edu/program/actuarial-science-masters/) to determine which format is right for you.~","Fall:
- Early Priority Scholarship Deadline: October 1
- Priority Scholarship Deadline II: December 1
- Priority Scholarship Deadline III: February 1
- International Student Deadline: April 1
- Final Deadline: July 11<br/><br/>
Spring:
- Early Priority Scholarship Deadline: September 1
- Priority Scholarship Deadline II: October 1
- International Student Deadline: November 1
- Final Deadline: December 1<br/><br/>
Summer:
- Early Priority Scholarship Deadline: February 1
- International Student Deadline: February 1
- Final Deadline: April 1~",https://graduate.gsu.edu/program/actuarial-science-masters/#admissions-requirements,https://robinson.gsu.edu/masters-programs/mas-application-process/,https://graduate.gsu.edu/program/actuarial-science-masters/,"Program graduates work for a variety of well-respected companies including Beecher Carlson, Deloitte, FHLBank Atlanta, Goldman Sachs, The Hartford, IFG Companies, Lincoln Financial Group, Munich Re, Samsung, Truist, and Willis Towers Watson.
<br/><br/>
Our 2020 graduates reported a 44.4% average salary increase, enabling them to pay back their investment in graduate school within 0.7 years.~","[Attend virtual office hours](https://go.oncehub.com/virtualofficehours) with one of our recruiters to get your questions answered.
<br/><br/>
rcbgradadmissions@gsu.edu
<br/><br/>
Steve Lo, program director<br/>
clo5@gsu.edu<br/>
404-413-7484 ~",,Actuarial Science Masters
Africana Studies Graduate Certificate,https://graduate.gsu.edu/program/africana-studies-graduate-certificate,"This certificate program allows master’s and doctoral students in other disciplines to amplify the Africentric analysis in their own course of study. Some may simply want to explore a specific area reflected in their course of study. Others may wish to pursue employment for which a certificate in African American Studies is deemed an advantage.


",Check out our [cost calculator](https://graduate.gsu.edu/funding-and-costs/#gradcostcalculator) or visit [student financial services](https://sfs.gsu.edu/guided-path-new-students-graduate-degree/?utm_source=program-list&utm_campaign=cost) for information on estimated costs.,Two years,Atlanta Campus,"Students may enter the program in fall, spring or summer.",https://graduate.gsu.edu/program/africana-studies-graduate-certificate,https://graduate.gsu.edu/program/africana-studies-graduate-certificate,https://graduate.gsu.edu/program/africana-studies-graduate-certificate,"Africana Studies (AS) is an interdisciplinary field that prepares students for professional life and social responsibility. Our emphasis on critical engagement, communication (oral and written) skills, and research provides important preparation and competencies in a variety of careers. Our alumni have successfully pursued careers in law, education, historic preservation, public health, mental health, urban planning, social work, and human rights advocacy.","Information<br><br>
Email: africana@gsu.edu<br>
Phone: 404-413-5131<br>
Fax: 404-413-5140",,Africana Studies Graduate Certificate
Africana Studies Ma,https://graduate.gsu.edu/program/africana-studies-ma,"Graduate students who want to engage in the interdisciplinary study of Black people in the United States, Africa and in the African diaspora will work closely with our faculty in this program.<br><br>
Our faculty have expertise in the domestic and global study of race and Blackness in the traditional disciplines of African-American Studies, Anthropology, Art History, History, Interdisciplinary Studies, Social Work and Public Health. There are few departments or programs that match our strengths in:

- Scholar-activism
- Diasporic studies in Black popular and mass culture
- Culturally relevant pedagogy
- Community empowerment
- Gender, sexuality and social relationships",Check out our [cost calculator](https://graduate.gsu.edu/funding-and-costs/#gradcostcalculator) or visit [student financial services](https://sfs.gsu.edu/guided-path-new-students-graduate-degree/?utm_source=program-list&utm_campaign=cost) for information on estimated costs.,A minimum of 36 semester hours of graduate coursework is required.,Atlanta Campus,"- Fall: March 1
- Spring: Does Not Admit
- Summer: Does Not Admit",https://graduate.gsu.edu/program/africana-studies-ma,https://graduate.gsu.edu/program/africana-studies-ma,https://graduate.gsu.edu/program/africana-studies-ma,"The M.A. in Africana Studies rests upon a broad field of study of the experiences of Black people and all people of African descent. The curriculum of Africana Studies is interdisciplinary and examines the Black experience through a culturally relevant and social justice perspective in the social sciences and humanities. As a result, students are prepared for an array of career choices.","Graduate Director<br><br>
Dr. Lakeyta Bonnette-Bailey<br>
404-413-5132<br>
lbonnette@gsu.edu",,Africana Studies Ma
Anthropology Graduate Certificate Ethnography,https://graduate.gsu.edu/program/anthropology-graduate-certificate-ethnography,"The Certificate in Ethnography is ideal for M.A. and Ph.D. students in a range of fields, including anthropology, sociology, community psychology, education, nursing, linguistics, communication, business and area studies. For students who plan to pursue careers in academia, private business or the public sector, the certificate offers applied and marketable skills in culture- and people-focused knowledge production and communication.",Check out our [cost calculator](https://graduate.gsu.edu/funding-and-costs/#gradcostcalculator) or visit [student financial services](https://sfs.gsu.edu/guided-path-new-students-graduate-degree/?utm_source=program-list&utm_campaign=cost) for information on estimated costs.,15 hours of graduate coursework must be completed,Atlanta Campus,"- Fall: April 1
- Spring: November 1",https://graduate.gsu.edu/program/anthropology-graduate-certificate-ethnography,https://graduate.gsu.edu/program/anthropology-graduate-certificate-ethnography,https://graduate.gsu.edu/program/anthropology-graduate-certificate-ethnography,"Ethnographic interviewing is a core skill for attorneys, therapists, social workers, administrators and journalists who seek to understand and serve an increasingly diverse population of colleagues, clients, interlocutors and stakeholders. Ethnographic research skills, including interviewing, participant observation, and qualitative data coding and analysis, are important for a range of fields, including public health, education, user experience research, marketing and product design.","Department Chair and Professor<br><br>
Jennifer Patico<br>
404-413-5167<br>
jpatico@gsu.edu<br><br>

Director of Graduate Studies and Associate Professor<br><br>
Steven Black<br>
404-413-5168<br>
sblack@gsu.edu",,Anthropology Graduate Certificate Ethnography
Anthropology Ma,https://graduate.gsu.edu/program/anthropology-ma,"The Master of Arts (M.A.) degree program in anthropology provides rigorous training in anthropological theories, methods and skills. The program is dedicated to the investigation of a broad range of social, cultural, political-economic and biological issues, processes and problems pertaining to the human experience in its past and present dimensions.",Check out our [cost calculator](https://graduate.gsu.edu/funding-and-costs/#gradcostcalculator) or visit [student financial services](https://sfs.gsu.edu/guided-path-new-students-graduate-degree/?utm_source=program-list&utm_campaign=cost) for information on estimated costs.,"A minimum of 33 semester hours of graduate coursework must be completed for the thesis option, 36 semester hours for the capstone option.",Atlanta Campus,"- Fall: March 1
- Spring: November 1 deadline
- Summer: Does not admit",https://graduate.gsu.edu/program/anthropology-ma,https://graduate.gsu.edu/program/anthropology-ma,https://graduate.gsu.edu/program/anthropology-ma,"There are four main career paths for graduates: 
- Corporate and Business
- Government
- Non-profit and Community-based
- Academic<br><br>
To learn more, please visit the [Anthropology M.A. Webpage](https://graduate.gsu.edu/program/anthropology-ma/).","Department Chair and Professor<br><br>
Jennifer Patico<br>
404-413-5167<br>
jpatico@gsu.edu<br><br>

Director of Graduate Studies and Associate Professor<br><br>
Steven Black<br>
404-413-5168<br>
sblack@gsu.edu",,Anthropology Ma
Anthropology Ma Concentration In Museum Anthropology,https://graduate.gsu.edu/program/anthropology-ma-concentration-in-museum-anthropology,"The Concentration in Museum Anthropology is an option for students enrolled in the M.A. in Anthropology program. In adopting an anthropological approach to museums, this concentration is distinct from generalized museum studies in examining curation, exhibition and museum practice from a comparative and global perspective that sees museums as dynamic institutions embedded in particular social and cultural contexts.",Check out our [cost calculator](https://graduate.gsu.edu/funding-and-costs/#gradcostcalculator) or visit [student financial services](https://sfs.gsu.edu/guided-path-new-students-graduate-degree/?utm_source=program-list&utm_campaign=cost) for information on estimated costs.,Four semesters,Atlanta Campus,,https://graduate.gsu.edu/program/anthropology-ma-concentration-in-museum-anthropology,https://graduate.gsu.edu/program/anthropology-ma-concentration-in-museum-anthropology,https://graduate.gsu.edu/program/anthropology-ma-concentration-in-museum-anthropology,"The program prepares students for a wide range of career opportunities, including:

- Research development and design
- Ergonomics
- Statistical analyst
- Museum curatorial staff
- Database management
- Grants officer
- Crime scene investigation
- Field assistant/supervisor
- Paleontology (lab/field)
- Community college instructor
- Lab manager
- Cultural resource management
- Foundation staff member
- Science education","Program Coordinators/Directors<br><br>

Professor<br>
Frank L’Engle Williams<br>
frankwilliams@gsu.edu<br>
404-413-5154<br><br>

Associate Professor<br>
Nicola Sharratt<br>
nsharratt@gsu.edu<br>
404-413-5779",,Anthropology Ma Concentration In Museum Anthropology
Applied Linguistics Ba Ma,https://graduate.gsu.edu/program/applied-linguistics-ba-ma,"Applied Linguistics is an interdisciplinary field of research and instruction that integrates aspects of fields such as linguistics, English, teacher education, speech communication, psychology, sociology and anthropology into a distinct field focused on issues related to the learning and teaching of a second/foreign language, such as the teaching and learning of English as a second language (ESL).",Check out our [cost calculator](https://graduate.gsu.edu/funding-and-costs/#gradcostcalculator) or visit [student financial services](https://sfs.gsu.edu/guided-path-new-students-graduate-degree/?utm_source=program-list&utm_campaign=cost) for information on estimated costs.,Full-time students can complete the program in five years.,Atlanta Campus,"Students may enter the program in fall, spring or summer semester.",https://graduate.gsu.edu/program/applied-linguistics-ba-ma,https://graduate.gsu.edu/program/applied-linguistics-ba-ma,https://graduate.gsu.edu/program/applied-linguistics-ba-ma,"Many of our graduates teach overseas or in language programs such as Intensive English Programs in major universities in Georgia and other parts of the country. Our students specialize in the following areas of teaching and research:

- Second language teacher education
- Second language acquisition theory and practice
- Classroom-oriented teacher development
- Structure and use of English
- Intercultural communication theory and research
- ESL/EFL materials research and development
- Sociolinguistics, pragmatics and discourse analysis
- Corpus linguistics (working with language databases)","Undergraduate Director<br>
Sharon Cavusgil<br>
Senior Lecturer, Applied Linguistics & ESL<br>
Email: scavusgil@gsu.edu",,Applied Linguistics Ba Ma
Applied Linguistics Ma,https://graduate.gsu.edu/program/applied-linguistics-ma,"We are a multifaceted applied linguistics department that focuses on post-secondary/adult language learning, teaching and use.<br><br>

Our faculty specialize in a number of sub-disciplines, including second language (L2) acquisition, L2 writing, sociolinguistics, language assessment, corpus linguistics, educational technology and L2 teacher education.",Check out our [cost calculator](https://graduate.gsu.edu/funding-and-costs/#gradcostcalculator) or visit [student financial services](https://sfs.gsu.edu/guided-path-new-students-graduate-degree/?utm_source=program-list&utm_campaign=cost) for information on estimated costs.,"Completion of 36-hour coursework (typically four semesters), a language requirement and a professional teaching and research portfolio.","Atlanta Campus, Online (some courses)","- Fall: July 1
- Spring: November 15
- Summer: March 1",https://graduate.gsu.edu/program/applied-linguistics-ma,https://graduate.gsu.edu/program/applied-linguistics-ma,https://graduate.gsu.edu/program/applied-linguistics-ma,"Applied Linguistics is an interdisciplinary field of research and instruction that integrates aspects of fields such as linguistics, English, teacher education, speech communication, psychology, sociology and anthropology into a distinct field focused on issues related to the learning and teaching of a second/foreign language, such as the teaching and learning of English as a second language (ESL).","Dr. Youjin Kim<br>
Director of Graduate Studies<br>
ykim39@gsu.edu<br>
404-413-5200",,Applied Linguistics Ma
